quad,quadcnv,DnstySt,Pcode,year,UNIQUE,ww_yield,dsnumeric,farm
524,79,l,01_grid_1,2014,01_grid_1_2014,13.4440641,1,01
555,80,l,01_grid_1,2014,01_grid_1_2014,12.83909459,1,01
586,81,l,01_grid_1,2014,01_grid_1_2014,13.11093243,1,01
617,82,m,01_grid_1,2014,01_grid_1_2014,12.56694118,2,01
648,83,l,01_grid_1,2014,01_grid_1_2014,9.414842105,1,01
27,84,l,01_grid_1,2014,01_grid_1_2014,6.713149573,1,01
58,85,m,01_grid_1,2014,01_grid_1_2014,9.826366667,2,01
89,86,l,01_grid_1,2014,01_grid_1_2014,11.98361111,1,01
120,87,l,01_grid_1,2014,01_grid_1_2014,12.92449057,1,01
151,88,l,01_grid_1,2014,01_grid_1_2014,12.92421154,1,01
182,89,l,01_grid_1,2014,01_grid_1_2014,13.05987736,1,01
213,90,l,01_grid_1,2014,01_grid_1_2014,12.83129091,1,01
244,91,l,01_grid_1,2014,01_grid_1_2014,13.02543636,1,01
275,92,l,01_grid_1,2014,01_grid_1_2014,13.16344545,1,01
306,93,l,01_grid_1,2014,01_grid_1_2014,12.88073684,1,01
337,94,l,01_grid_1,2014,01_grid_1_2014,12.94146296,1,01
368,95,l,01_grid_1,2014,01_grid_1_2014,13.39111607,1,01
399,96,l,01_grid_1,2014,01_grid_1_2014,13.25679508,1,01
430,97,l,01_grid_1,2014,01_grid_1_2014,12.87955172,1,01
461,98,l,01_grid_1,2014,01_grid_1_2014,12.93735345,1,01
492,99,l,01_grid_1,2014,01_grid_1_2014,12.7751,1,01
523,100,l,01_grid_1,2014,01_grid_1_2014,12.63805263,1,01
554,101,l,01_grid_1,2014,01_grid_1_2014,12.76118333,1,01
585,102,l,01_grid_1,2014,01_grid_1_2014,12.74603448,1,01
616,103,l,01_grid_1,2014,01_grid_1_2014,9.72005,1,01
647,104,l,01_grid_1,2014,01_grid_1_2014,10.00548684,1,01
26,105,l,01_grid_1,2014,01_grid_1_2014,8.15642,1,01
57,106,m,01_grid_1,2014,01_grid_1_2014,8.356916667,2,01
88,107,m,01_grid_1,2014,01_grid_1_2014,11.95386585,2,01
119,108,l,01_grid_1,2014,01_grid_1_2014,12.39054054,1,01
150,109,l,01_grid_1,2014,01_grid_1_2014,12.87353947,1,01
181,110,l,01_grid_1,2014,01_grid_1_2014,13.022675,1,01
212,111,l,01_grid_1,2014,01_grid_1_2014,12.93833333,1,01
243,112,l,01_grid_1,2014,01_grid_1_2014,12.84256098,1,01
274,113,l,01_grid_1,2014,01_grid_1_2014,12.20626923,1,01
305,114,l,01_grid_1,2014,01_grid_1_2014,12.6322375,1,01
336,115,l,01_grid_1,2014,01_grid_1_2014,12.69727632,1,01
367,116,l,01_grid_1,2014,01_grid_1_2014,12.7705,1,01
398,117,l,01_grid_1,2014,01_grid_1_2014,12.89147368,1,01
429,118,l,01_grid_1,2014,01_grid_1_2014,12.63692105,1,01
460,119,l,01_grid_1,2014,01_grid_1_2014,12.20285714,1,01
491,120,l,01_grid_1,2014,01_grid_1_2014,12.45825676,1,01
522,121,l,01_grid_1,2014,01_grid_1_2014,12.44893243,1,01
553,122,l,01_grid_1,2014,01_grid_1_2014,12.61891667,1,01
584,123,l,01_grid_1,2014,01_grid_1_2014,12.4067973,1,01
615,124,l,01_grid_1,2014,01_grid_1_2014,12.27276667,1,01
646,125,l,01_grid_1,2014,01_grid_1_2014,11.07735185,1,01
56,127,m,01_grid_1,2014,01_grid_1_2014,7.292977778,2,01
87,128,h,01_grid_1,2014,01_grid_1_2014,10.53785366,3,01
118,129,h,01_grid_1,2014,01_grid_1_2014,12.0052625,3,01
149,130,v,01_grid_1,2014,01_grid_1_2014,12.45792308,4,01
180,131,v,01_grid_1,2014,01_grid_1_2014,12.78371795,4,01
211,132,h,01_grid_1,2014,01_grid_1_2014,12.98945946,3,01
242,133,h,01_grid_1,2014,01_grid_1_2014,13.02397619,3,01
273,134,h,01_grid_1,2014,01_grid_1_2014,12.44424324,3,01
304,135,h,01_grid_1,2014,01_grid_1_2014,12.52125714,3,01
335,136,h,01_grid_1,2014,01_grid_1_2014,12.78043421,3,01
366,137,h,01_grid_1,2014,01_grid_1_2014,13.0511625,3,01
397,138,m,01_grid_1,2014,01_grid_1_2014,13.17656098,2,01
428,139,m,01_grid_1,2014,01_grid_1_2014,13.28905814,2,01
459,140,m,01_grid_1,2014,01_grid_1_2014,13.22627778,2,01
490,141,m,01_grid_1,2014,01_grid_1_2014,13.29880769,2,01
521,142,m,01_grid_1,2014,01_grid_1_2014,13.27443243,2,01
552,143,m,01_grid_1,2014,01_grid_1_2014,13.09267143,2,01
583,144,m,01_grid_1,2014,01_grid_1_2014,12.86240789,2,01
614,145,l,01_grid_1,2014,01_grid_1_2014,11.65995946,1,01
645,146,m,01_grid_1,2014,01_grid_1_2014,10.59290385,2,01
55,148,l,01_grid_1,2014,01_grid_1_2014,8.082846154,1,01
86,149,m,01_grid_1,2014,01_grid_1_2014,9.89525,2,01
117,150,v,01_grid_1,2014,01_grid_1_2014,9.951730769,4,01
148,151,h,01_grid_1,2014,01_grid_1_2014,9.697851351,3,01
179,152,h,01_grid_1,2014,01_grid_1_2014,9.899578947,3,01
210,153,h,01_grid_1,2014,01_grid_1_2014,11.3640641,3,01
241,154,h,01_grid_1,2014,01_grid_1_2014,11.72553846,3,01
272,155,h,01_grid_1,2014,01_grid_1_2014,11.94736585,3,01
303,156,m,01_grid_1,2014,01_grid_1_2014,11.67104167,2,01
334,157,m,01_grid_1,2014,01_grid_1_2014,10.97178788,2,01
365,158,m,01_grid_1,2014,01_grid_1_2014,12.10220588,2,01
396,159,l,01_grid_1,2014,01_grid_1_2014,12.33801429,1,01
427,160,l,01_grid_1,2014,01_grid_1_2014,11.74782051,1,01
458,161,l,01_grid_1,2014,01_grid_1_2014,12.13323611,1,01
489,162,l,01_grid_1,2014,01_grid_1_2014,12.65986842,1,01
520,163,l,01_grid_1,2014,01_grid_1_2014,12.56761842,1,01
551,164,l,01_grid_1,2014,01_grid_1_2014,12.58070588,1,01
582,165,l,01_grid_1,2014,01_grid_1_2014,12.44729167,1,01
613,166,l,01_grid_1,2014,01_grid_1_2014,10.37148571,1,01
644,167,l,01_grid_1,2014,01_grid_1_2014,10.94695122,1,01
54,169,l,01_grid_1,2014,01_grid_1_2014,7.435041667,1,01
85,170,m,01_grid_1,2014,01_grid_1_2014,7.434508929,2,01
116,171,v,01_grid_1,2014,01_grid_1_2014,9.734833333,4,01
147,172,v,01_grid_1,2014,01_grid_1_2014,10.05710169,4,01
178,173,v,01_grid_1,2014,01_grid_1_2014,9.767971698,4,01
209,174,v,01_grid_1,2014,01_grid_1_2014,10.01997321,4,01
240,175,v,01_grid_1,2014,01_grid_1_2014,10.82741228,4,01
271,176,v,01_grid_1,2014,01_grid_1_2014,11.37200962,4,01
302,177,v,01_grid_1,2014,01_grid_1_2014,11.3891,4,01
333,178,v,01_grid_1,2014,01_grid_1_2014,10.77916346,4,01
364,179,l,01_grid_1,2014,01_grid_1_2014,12.98715574,1,01
395,180,l,01_grid_1,2014,01_grid_1_2014,12.51809016,1,01
426,181,l,01_grid_1,2014,01_grid_1_2014,11.55290476,1,01
457,182,l,01_grid_1,2014,01_grid_1_2014,12.12039286,1,01
488,183,l,01_grid_1,2014,01_grid_1_2014,11.6706523,1,01
519,184,l,01_grid_1,2014,01_grid_1_2014,10.76477885,1,01
550,185,l,01_grid_1,2014,01_grid_1_2014,11.57780769,1,01
581,186,l,01_grid_1,2014,01_grid_1_2014,12.16712963,1,01
612,187,l,01_grid_1,2014,01_grid_1_2014,12.08765254,1,01
643,188,l,01_grid_1,2014,01_grid_1_2014,10.11913021,1,01
84,191,l,01_grid_1,2014,01_grid_1_2014,5.986960526,1,01
115,192,m,01_grid_1,2014,01_grid_1_2014,5.039814286,2,01
146,193,m,01_grid_1,2014,01_grid_1_2014,5.561013158,2,01
177,194,m,01_grid_1,2014,01_grid_1_2014,7.248909091,2,01
208,195,m,01_grid_1,2014,01_grid_1_2014,7.8532,2,01
239,196,m,01_grid_1,2014,01_grid_1_2014,8.345891892,2,01
270,197,l,01_grid_1,2014,01_grid_1_2014,7.802852778,1,01
301,198,l,01_grid_1,2014,01_grid_1_2014,7.725666667,1,01
332,199,l,01_grid_1,2014,01_grid_1_2014,6.830642857,1,01
363,200,l,01_grid_1,2014,01_grid_1_2014,7.97834375,1,01
31,0,0,01_grid_1,2017,01_grid_1_2017,10.33370833,0,01
62,1,l,01_grid_1,2017,01_grid_1_2017,10.51054762,1,01
93,2,l,01_grid_1,2017,01_grid_1_2017,9.952611111,1,01
124,3,l,01_grid_1,2017,01_grid_1_2017,6.629805556,1,01
155,4,l,01_grid_1,2017,01_grid_1_2017,2.614856863,1,01
186,5,l,01_grid_1,2017,01_grid_1_2017,8.369166667,1,01
217,6,l,01_grid_1,2017,01_grid_1_2017,6.512733333,1,01
248,7,l,01_grid_1,2017,01_grid_1_2017,8.317603448,1,01
279,8,0,01_grid_1,2017,01_grid_1_2017,8.91025,0,01
310,9,l,01_grid_1,2017,01_grid_1_2017,9.357387097,1,01
341,10,0,01_grid_1,2017,01_grid_1_2017,9.538566667,0,01
372,11,0,01_grid_1,2017,01_grid_1_2017,9.267433333,0,01
403,12,l,01_grid_1,2017,01_grid_1_2017,9.275790323,1,01
434,13,0,01_grid_1,2017,01_grid_1_2017,8.952339286,0,01
465,14,l,01_grid_1,2017,01_grid_1_2017,9.03275,1,01
496,15,l,01_grid_1,2017,01_grid_1_2017,9.076928571,1,01
527,16,l,01_grid_1,2017,01_grid_1_2017,9.085145161,1,01
558,17,l,01_grid_1,2017,01_grid_1_2017,8.579074074,1,01
589,18,l,01_grid_1,2017,01_grid_1_2017,7.756919355,1,01
620,19,0,01_grid_1,2017,01_grid_1_2017,1.960105691,0,01
651,20,0,01_grid_1,2017,01_grid_1_2017,5.00515,0,01
30,21,0,01_grid_1,2017,01_grid_1_2017,6.166077519,0,01
61,22,0,01_grid_1,2017,01_grid_1_2017,8.633407609,0,01
92,23,l,01_grid_1,2017,01_grid_1_2017,10.37815854,1,01
123,24,l,01_grid_1,2017,01_grid_1_2017,10.13488462,1,01
154,25,l,01_grid_1,2017,01_grid_1_2017,9.4915,1,01
185,26,l,01_grid_1,2017,01_grid_1_2017,9.785639535,1,01
216,27,l,01_grid_1,2017,01_grid_1_2017,9.9381375,1,01
247,28,l,01_grid_1,2017,01_grid_1_2017,10.16385714,1,01
278,29,l,01_grid_1,2017,01_grid_1_2017,10.17171053,1,01
309,30,l,01_grid_1,2017,01_grid_1_2017,10.32453659,1,01
340,31,0,01_grid_1,2017,01_grid_1_2017,9.91775,0,01
371,32,0,01_grid_1,2017,01_grid_1_2017,10.17283333,0,01
402,33,0,01_grid_1,2017,01_grid_1_2017,10.13092105,0,01
433,34,0,01_grid_1,2017,01_grid_1_2017,10.08234524,0,01
464,35,l,01_grid_1,2017,01_grid_1_2017,10.132325,1,01
495,36,0,01_grid_1,2017,01_grid_1_2017,9.678635135,0,01
526,37,l,01_grid_1,2017,01_grid_1_2017,10.14480488,1,01
557,38,l,01_grid_1,2017,01_grid_1_2017,9.744128205,1,01
588,39,0,01_grid_1,2017,01_grid_1_2017,6.432902778,0,01
619,40,0,01_grid_1,2017,01_grid_1_2017,3.931734694,0,01
650,41,0,01_grid_1,2017,01_grid_1_2017,10.403,0,01
29,42,l,01_grid_1,2017,01_grid_1_2017,6.549866667,1,01
60,43,l,01_grid_1,2017,01_grid_1_2017,10.10231034,1,01
91,44,0,01_grid_1,2017,01_grid_1_2017,11.90008772,0,01
122,45,l,01_grid_1,2017,01_grid_1_2017,11.89472321,1,01
153,46,0,01_grid_1,2017,01_grid_1_2017,11.73113393,0,01
184,47,0,01_grid_1,2017,01_grid_1_2017,12.09503448,0,01
215,48,l,01_grid_1,2017,01_grid_1_2017,12.09725,1,01
246,49,0,01_grid_1,2017,01_grid_1_2017,12.02420339,0,01
277,50,l,01_grid_1,2017,01_grid_1_2017,12.18695536,1,01
308,51,l,01_grid_1,2017,01_grid_1_2017,11.9673629,1,01
339,52,l,01_grid_1,2017,01_grid_1_2017,11.767125,1,01
370,53,0,01_grid_1,2017,01_grid_1_2017,11.85575,0,01
401,54,l,01_grid_1,2017,01_grid_1_2017,11.73402419,1,01
432,55,0,01_grid_1,2017,01_grid_1_2017,11.71558036,0,01
463,56,0,01_grid_1,2017,01_grid_1_2017,11.56378947,0,01
494,57,l,01_grid_1,2017,01_grid_1_2017,11.653,1,01
525,58,l,01_grid_1,2017,01_grid_1_2017,11.44077966,1,01
556,59,0,01_grid_1,2017,01_grid_1_2017,11.44980303,0,01
587,60,0,01_grid_1,2017,01_grid_1_2017,8.048433333,0,01
618,61,0,01_grid_1,2017,01_grid_1_2017,2.642445946,0,01
649,62,0,01_grid_1,2017,01_grid_1_2017,8.445395833,0,01
28,63,0,01_grid_1,2017,01_grid_1_2017,5.292142857,0,01
59,64,l,01_grid_1,2017,01_grid_1_2017,3.401025424,1,01
90,65,0,01_grid_1,2017,01_grid_1_2017,11.734175,0,01
121,66,0,01_grid_1,2017,01_grid_1_2017,11.59023077,0,01
152,67,l,01_grid_1,2017,01_grid_1_2017,11.8738375,1,01
183,68,l,01_grid_1,2017,01_grid_1_2017,11.87669512,1,01
214,69,0,01_grid_1,2017,01_grid_1_2017,11.9466875,0,01
245,70,l,01_grid_1,2017,01_grid_1_2017,11.97814286,1,01
276,71,0,01_grid_1,2017,01_grid_1_2017,12.17054878,0,01
307,72,0,01_grid_1,2017,01_grid_1_2017,12.09198684,0,01
338,73,0,01_grid_1,2017,01_grid_1_2017,11.79935897,0,01
369,74,0,01_grid_1,2017,01_grid_1_2017,12.04529167,0,01
400,75,l,01_grid_1,2017,01_grid_1_2017,11.90653947,1,01
431,76,l,01_grid_1,2017,01_grid_1_2017,11.73479487,1,01
462,77,0,01_grid_1,2017,01_grid_1_2017,11.49286486,0,01
493,78,l,01_grid_1,2017,01_grid_1_2017,11.32573684,1,01
524,79,l,01_grid_1,2017,01_grid_1_2017,11.43036486,1,01
555,80,l,01_grid_1,2017,01_grid_1_2017,11.71568056,1,01
586,81,l,01_grid_1,2017,01_grid_1_2017,10.92567857,1,01
617,82,0,01_grid_1,2017,01_grid_1_2017,3.564911202,0,01
648,83,l,01_grid_1,2017,01_grid_1_2017,6.792448276,1,01
27,84,0,01_grid_1,2017,01_grid_1_2017,4.54348,0,01
58,85,0,01_grid_1,2017,01_grid_1_2017,3.08667345,0,01
89,86,l,01_grid_1,2017,01_grid_1_2017,9.238694444,1,01
120,87,0,01_grid_1,2017,01_grid_1_2017,10.27743056,0,01
151,88,0,01_grid_1,2017,01_grid_1_2017,10.41108537,0,01
182,89,l,01_grid_1,2017,01_grid_1_2017,10.624875,1,01
213,90,l,01_grid_1,2017,01_grid_1_2017,10.7310875,1,01
244,91,l,01_grid_1,2017,01_grid_1_2017,10.6755625,1,01
275,92,l,01_grid_1,2017,01_grid_1_2017,11.06439474,1,01
306,93,l,01_grid_1,2017,01_grid_1_2017,10.80451316,1,01
337,94,l,01_grid_1,2017,01_grid_1_2017,10.7191125,1,01
368,95,l,01_grid_1,2017,01_grid_1_2017,10.57928571,1,01
399,96,0,01_grid_1,2017,01_grid_1_2017,10.72998611,0,01
430,97,0,01_grid_1,2017,01_grid_1_2017,10.49168056,0,01
461,98,l,01_grid_1,2017,01_grid_1_2017,10.5643375,1,01
492,99,l,01_grid_1,2017,01_grid_1_2017,10.5360125,1,01
523,100,l,01_grid_1,2017,01_grid_1_2017,10.45631081,1,01
554,101,l,01_grid_1,2017,01_grid_1_2017,10.25587838,1,01
585,102,l,01_grid_1,2017,01_grid_1_2017,7.233168561,1,01
616,103,l,01_grid_1,2017,01_grid_1_2017,5.722910402,1,01
647,104,l,01_grid_1,2017,01_grid_1_2017,4.4297,1,01
26,105,0,01_grid_1,2017,01_grid_1_2017,5.964333333,0,01
57,106,l,01_grid_1,2017,01_grid_1_2017,3.042256705,1,01
88,107,0,01_grid_1,2017,01_grid_1_2017,5.991222222,0,01
119,108,0,01_grid_1,2017,01_grid_1_2017,7.186404762,0,01
150,109,0,01_grid_1,2017,01_grid_1_2017,5.895585714,0,01
181,110,0,01_grid_1,2017,01_grid_1_2017,8.899768018,0,01
212,111,0,01_grid_1,2017,01_grid_1_2017,9.288197368,0,01
243,112,l,01_grid_1,2017,01_grid_1_2017,9.599731707,1,01
274,113,0,01_grid_1,2017,01_grid_1_2017,9.9515,0,01
305,114,0,01_grid_1,2017,01_grid_1_2017,9.820210526,0,01
336,115,0,01_grid_1,2017,01_grid_1_2017,9.675351351,0,01
367,116,0,01_grid_1,2017,01_grid_1_2017,9.690789474,0,01
398,117,0,01_grid_1,2017,01_grid_1_2017,9.613858974,0,01
429,118,0,01_grid_1,2017,01_grid_1_2017,9.470614286,0,01
460,119,0,01_grid_1,2017,01_grid_1_2017,9.581041667,0,01
491,120,0,01_grid_1,2017,01_grid_1_2017,9.669641026,0,01
522,121,0,01_grid_1,2017,01_grid_1_2017,9.4795,0,01
553,122,0,01_grid_1,2017,01_grid_1_2017,9.599846154,0,01
584,123,0,01_grid_1,2017,01_grid_1_2017,9.331357143,0,01
615,124,0,01_grid_1,2017,01_grid_1_2017,5.795340909,0,01
646,125,0,01_grid_1,2017,01_grid_1_2017,5.324164063,0,01
56,127,l,01_grid_1,2017,01_grid_1_2017,3.888487013,1,01
87,128,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
118,129,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
149,130,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
180,131,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
211,132,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
242,133,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
273,134,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
304,135,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
335,136,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
366,137,0,01_grid_1,2017,01_grid_1_2017,NA,0,01
397,138,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
428,139,0,01_grid_1,2017,01_grid_1_2017,NA,0,01
459,140,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
490,141,0,01_grid_1,2017,01_grid_1_2017,NA,0,01
521,142,0,01_grid_1,2017,01_grid_1_2017,NA,0,01
552,143,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
583,144,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
614,145,0,01_grid_1,2017,01_grid_1_2017,NA,0,01
645,146,0,01_grid_1,2017,01_grid_1_2017,7.005254902,0,01
55,148,l,01_grid_1,2017,01_grid_1_2017,7.302064103,1,01
86,149,l,01_grid_1,2017,01_grid_1_2017,10.15433333,1,01
117,150,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
148,151,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
179,152,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
210,153,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
241,154,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
272,155,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
303,156,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
334,157,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
365,158,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
396,159,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
427,160,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
458,161,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
489,162,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
520,163,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
551,164,0,01_grid_1,2017,01_grid_1_2017,NA,0,01
582,165,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
613,166,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
644,167,l,01_grid_1,2017,01_grid_1_2017,5.729771429,1,01
54,169,l,01_grid_1,2017,01_grid_1_2017,5.329052632,1,01
85,170,l,01_grid_1,2017,01_grid_1_2017,9.887833333,1,01
116,171,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
147,172,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
178,173,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
209,174,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
240,175,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
271,176,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
302,177,l,01_grid_1,2017,01_grid_1_2017,NA,1,01
333,178,l,01_grid_1,2017,01_grid_1_2017,12.47425,1,01
364,179,0,01_grid_1,2017,01_grid_1_2017,13.16121053,0,01
395,180,0,01_grid_1,2017,01_grid_1_2017,13.400675,0,01
426,181,l,01_grid_1,2017,01_grid_1_2017,13.138625,1,01
457,182,0,01_grid_1,2017,01_grid_1_2017,13.3497,0,01
488,183,l,01_grid_1,2017,01_grid_1_2017,13.226875,1,01
519,184,l,01_grid_1,2017,01_grid_1_2017,12.956,1,01
550,185,0,01_grid_1,2017,01_grid_1_2017,8.103235294,0,01
581,186,l,01_grid_1,2017,01_grid_1_2017,5.863090909,1,01
612,187,l,01_grid_1,2017,01_grid_1_2017,6.759075758,1,01
643,188,0,01_grid_1,2017,01_grid_1_2017,4.339738333,0,01
53,190,0,01_grid_1,2017,01_grid_1_2017,5.324947368,0,01
84,191,m,01_grid_1,2017,01_grid_1_2017,10.467675,2,01
115,192,m,01_grid_1,2017,01_grid_1_2017,NA,2,01
146,193,m,01_grid_1,2017,01_grid_1_2017,NA,2,01
177,194,m,01_grid_1,2017,01_grid_1_2017,11.353,2,01
208,195,m,01_grid_1,2017,01_grid_1_2017,11.727,2,01
239,196,m,01_grid_1,2017,01_grid_1_2017,12.52252778,2,01
270,197,m,01_grid_1,2017,01_grid_1_2017,10.55810526,2,01
301,198,m,01_grid_1,2017,01_grid_1_2017,10.04524206,2,01
